subject,actual_living_space,age,employment,gender,justice,political_attitude,relative_justice,treatment,units,version
11156,70,1986,4,,0,4,0,1,0,1
11156,70,1986,4,,0,4,0,1,200,1
11156,70,1986,4,,0,4,0,1,400,1
11156,70,1986,4,,.15000001,4,10,1,600,1
11156,70,1986,4,,.30000001,4,10,1,800,1
11156,70,1986,4,,1,4,0,1,1000,1
11156,70,1986,4,,1,4,0,1,1200,1
11156,70,1986,4,,1,4,0,1,1400,1
11156,70,1986,4,,1,4,0,1,1600,1
11156,70,1986,4,,1,4,0,1,1800,1
11156,70,1986,4,,1,4,,1,2000,1
11157,101,1992,1,,0,5,0,1,0,1
11157,101,1992,1,,0,5,0,1,200,1
11157,101,1992,1,,0,5,0,1,400,1
11157,101,1992,1,,0,5,0,1,600,1
11157,101,1992,1,,0,5,10,1,800,1
11157,101,1992,1,,.80000001,5,8,1,1000,1
11157,101,1992,1,,1,5,8,1,1200,1
11157,101,1992,1,,1,5,0,1,1400,1
11157,101,1992,1,,.5,5,-6,1,1600,1
11157,101,1992,1,,.30000001,5,-10,1,1800,1
11157,101,1992,1,,0,5,,1,2000,1
11158,50,1990,1,,0,6,1,1,0,1
11158,50,1990,1,,0,6,1,1,200,1
11158,50,1990,1,,0,6,1,1,400,1
11158,50,1990,1,,0,6,1,1,600,1
11158,50,1990,1,,0,6,5,1,800,1
11158,50,1990,1,,.81,6,5,1,1000,1
11158,50,1990,1,,.86000001,6,5,1,1200,1
11158,50,1990,1,,.89999998,6,5,1,1400,1
11158,50,1990,1,,.94,6,5,1,1600,1
11158,50,1990,1,,.95999998,6,10,1,1800,1
11158,50,1990,1,,1,6,,1,2000,1
11159,10,1989,1,,0,4,0,1,0,1
11159,10,1989,1,,.2,4,0,1,200,1
11159,10,1989,1,,.40000001,4,6,1,400,1
11159,10,1989,1,,.51999998,4,6,1,600,1
11159,10,1989,1,,.60000002,4,9,1,800,1
11159,10,1989,1,,.89999998,4,6,1,1000,1
11159,10,1989,1,,.93000001,4,6,1,1200,1
11159,10,1989,1,,1,4,6,1,1400,1
11159,10,1989,1,,1,4,6,1,1600,1
11159,10,1989,1,,1,4,6,1,1800,1
11159,10,1989,1,,1,4,,1,2000,1
11160,300,1995,1,,0,4,0,1,0,1
11160,300,1995,1,,.0099999998,4,0,1,200,1
11160,300,1995,1,,.0099999998,4,0,1,400,1
11160,300,1995,1,,.0099999998,4,0,1,600,1
11160,300,1995,1,,.0099999998,4,10,1,800,1
11160,300,1995,1,,.5,4,10,1,1000,1
11160,300,1995,1,,.60000002,4,10,1,1200,1
11160,300,1995,1,,.69999999,4,10,1,1400,1
11160,300,1995,1,,.80000001,4,10,1,1600,1
11160,300,1995,1,,.89999998,4,10,1,1800,1
11160,300,1995,1,,1,4,,1,2000,1
11161,66,1994,1,,0,4,0,1,0,1
11161,66,1994,1,,0,4,0,1,200,1
11161,66,1994,1,,0,4,0,1,400,1
11161,66,1994,1,,0,4,2,1,600,1
11161,66,1994,1,,.16,4,5,1,800,1
11161,66,1994,1,,.43000001,4,0,1,1000,1
11161,66,1994,1,,.56999999,4,6,1,1200,1
11161,66,1994,1,,.68000001,4,7,1,1400,1
11161,66,1994,1,,.74000001,4,3,1,1600,1
11161,66,1994,1,,.86000001,4,2,1,1800,1
11161,66,1994,1,,1,4,,1,2000,1
11162,17,1987,2,,0,4,1,1,0,1
11162,17,1987,2,,.039999999,4,2,1,200,1
11162,17,1987,2,,.059999999,4,3,1,400,1
11162,17,1987,2,,.079999998,4,4,1,600,1
11162,17,1987,2,,.1,4,7,1,800,1
11162,17,1987,2,,.63,4,8,1,1000,1
11162,17,1987,2,,.86000001,4,9,1,1200,1
11162,17,1987,2,,.91000003,4,9,1,1400,1
11162,17,1987,2,,1,4,9,1,1600,1
11162,17,1987,2,,1,4,10,1,1800,1
11162,17,1987,2,,1,4,,1,2000,1
11163,57,1988,1,,0,5,0,1,0,1
11163,57,1988,1,,0,5,0,1,200,1
11163,57,1988,1,,0,5,0,1,400,1
11163,57,1988,1,,.28,5,0,1,600,1
11163,57,1988,1,,.69,5,7,1,800,1
11163,57,1988,1,,.89999998,5,0,1,1000,1
11163,57,1988,1,,.91000003,5,0,1,1200,1
11163,57,1988,1,,.92000002,5,0,1,1400,1
11163,57,1988,1,,.93000001,5,0,1,1600,1
11163,57,1988,1,,.94,5,0,1,1800,1
11163,57,1988,1,,1,5,,1,2000,1
11164,60,1940,1,,0,4,0,1,0,1
11164,60,1940,1,,0,4,0,1,200,1
11164,60,1940,1,,0,4,0,1,400,1
11164,60,1940,1,,0,4,0,1,600,1
11164,60,1940,1,,.059999999,4,8,1,800,1
11164,60,1940,1,,.37,4,6,1,1000,1
11164,60,1940,1,,.5,4,6,1,1200,1
11164,60,1940,1,,.58999997,4,6,1,1400,1
11164,60,1940,1,,1,4,6,1,1600,1
11164,60,1940,1,,.85000002,4,6,1,1800,1
11164,60,1940,1,,.83999997,4,,1,2000,1
11165,80,1991,1,,0,3,0,1,0,1
11165,80,1991,1,,0,3,0,1,200,1
11165,80,1991,1,,0,3,0,1,400,1
11165,80,1991,1,,0,3,0,1,600,1
11165,80,1991,1,,0,3,9,1,800,1
11165,80,1991,1,,.5,3,6,1,1000,1
11165,80,1991,1,,.64999998,3,5,1,1200,1
11165,80,1991,1,,.75,3,4,1,1400,1
11165,80,1991,1,,1,3,4,1,1600,1
11165,80,1991,1,,1,3,4,1,1800,1
11165,80,1991,1,,1,3,,1,2000,1
11276,65,1986,1,,0,5,0,1,0,1
11276,65,1986,1,,0,5,0,1,200,1
11276,65,1986,1,,0,5,0,1,400,1
11276,65,1986,1,,0,5,0,1,600,1
11276,65,1986,1,,0,5,10,1,800,1
11276,65,1986,1,,.5,5,7,1,1000,1
11276,65,1986,1,,.61000001,5,7,1,1200,1
11276,65,1986,1,,.70999998,5,7,1,1400,1
11276,65,1986,1,,.80000001,5,7,1,1600,1
11276,65,1986,1,,.89999998,5,7,1,1800,1
11276,65,1986,1,,1,5,,1,2000,1
11277,53,1985,1,,0,5,0,1,0,1
11277,53,1985,1,,0,5,0,1,200,1
11277,53,1985,1,,0,5,0,1,400,1
11277,53,1985,1,,0,5,0,1,600,1
11277,53,1985,1,,0,5,10,1,800,1
11277,53,1985,1,,0,5,10,1,1000,1
